,Conversation_ID,Customer_Issue,Tech_Response,Resolution_Time,Issue_Category,Issue_Status
764,CONV-0765,software installation failure,Clear cache and remove unnecessary programs.,71 minutes,software,Pending
765,CONV-0766,software installation failure,Follow the software installation guide.,95 minutes,performance,Pending
766,CONV-0767,forgot password,Restart your router.,35 minutes,account,Pending
767,CONV-0768,unable to access email,Verify your email settings.,97 minutes,hardware,Pending
768,CONV-0769,forgot password,Reinstall the printer drivers.,37 minutes,performance,Escalated
769,CONV-0770,unable to access email,Follow the software installation guide.,104 minutes,account,Resolved
770,CONV-0771,software installation failure,Verify your email settings.,40 minutes,hardware,Resolved
771,CONV-0772,blue screen error,Clear cache and remove unnecessary programs.,90 minutes,network,Escalated
772,CONV-0773,printer not responding,Restart your router.,103 minutes,account,Resolved after follow-up
773,CONV-0774,slow system performance,Reinstall the printer drivers.,35 minutes,account,Resolved
774,CONV-0775,cannot connect to wi-fi,Clear cache and remove unnecessary programs.,114 minutes,software,Resolved
775,CONV-0776,slow system performance,Restart your router.,38 minutes,performance,Resolved after follow-up
776,CONV-0777,software installation failure,Reset your password using the link provided.,59 minutes,account,Resolved
777,CONV-0778,slow system performance,Clear cache and remove unnecessary programs.,19 minutes,hardware,Resolved
778,CONV-0779,cannot connect to wi-fi,Reinstall the printer drivers.,99 minutes,performance,Escalated
779,CONV-0780,cannot connect to wi-fi,Restart your router.,30 minutes,network,Escalated
780,CONV-0781,cannot connect to wi-fi,Follow the software installation guide.,19 minutes,performance,Escalated
781,CONV-0782,forgot password,Follow the software installation guide.,74 minutes,performance,Escalated
782,CONV-0783,blue screen error,Reinstall the printer drivers.,72 minutes,hardware,Escalated
783,CONV-0784,software installation failure,Restart your router.,73 minutes,hardware,Resolved after follow-up
784,CONV-0785,software installation failure,Run a system diagnostic tool.,35 minutes,hardware,Resolved after follow-up
785,CONV-0786,printer not responding,Verify your email settings.,70 minutes,account,Pending
786,CONV-0787,cannot connect to wi-fi,Restart your router.,86 minutes,software,Resolved
787,CONV-0788,slow system performance,Restart your router.,109 minutes,performance,Pending
788,CONV-0789,printer not responding,Follow the software installation guide.,101 minutes,performance,Pending
789,CONV-0790,unable to access email,Run a system diagnostic tool.,17 minutes,account,Pending
790,CONV-0791,blue screen error,Follow the software installation guide.,106 minutes,performance,Escalated
791,CONV-0792,forgot password,Restart your router.,22 minutes,account,Pending
792,CONV-0793,slow system performance,Follow the software installation guide.,96 minutes,network,Pending
793,CONV-0794,software installation failure,Clear cache and remove unnecessary programs.,74 minutes,account,Resolved after follow-up
794,CONV-0795,slow system performance,Restart your router.,69 minutes,performance,Escalated
795,CONV-0796,slow system performance,Run a system diagnostic tool.,120 minutes,network,Resolved after follow-up
796,CONV-0797,software installation failure,Verify your email settings.,7 minutes,network,Pending
797,CONV-0798,forgot password,Run a system diagnostic tool.,70 minutes,account,Resolved
798,CONV-0799,slow system performance,Follow the software installation guide.,93 minutes,network,Resolved after follow-up
799,CONV-0800,forgot password,Clear cache and remove unnecessary programs.,15 minutes,software,Resolved after follow-up
800,CONV-0801,software installation failure,Verify your email settings.,18 minutes,performance,Escalated
801,CONV-0802,unable to access email,Reinstall the printer drivers.,102 minutes,network,Resolved
802,CONV-0803,unable to access email,Run a system diagnostic tool.,60 minutes,hardware,Resolved
803,CONV-0804,printer not responding,Run a system diagnostic tool.,116 minutes,performance,Resolved after follow-up
804,CONV-0805,slow system performance,Clear cache and remove unnecessary programs.,23 minutes,performance,Pending
805,CONV-0806,cannot connect to wi-fi,Reset your password using the link provided.,53 minutes,hardware,Pending
806,CONV-0807,unable to access email,Verify your email settings.,94 minutes,account,Resolved
807,CONV-0808,cannot connect to wi-fi,Clear cache and remove unnecessary programs.,119 minutes,network,Resolved after follow-up
808,CONV-0809,cannot connect to wi-fi,Follow the software installation guide.,7 minutes,network,Resolved
809,CONV-0810,forgot password,Reset your password using the link provided.,13 minutes,account,Pending
810,CONV-0811,software installation failure,Reinstall the printer drivers.,40 minutes,software,Pending
811,CONV-0812,slow system performance,Reinstall the printer drivers.,50 minutes,network,Escalated
812,CONV-0813,cannot connect to wi-fi,Restart your router.,12 minutes,software,Escalated
813,CONV-0814,unable to access email,Clear cache and remove unnecessary programs.,104 minutes,account,Escalated
814,CONV-0815,unable to access email,Restart your router.,52 minutes,software,Pending
815,CONV-0816,unable to access email,Verify your email settings.,77 minutes,account,Pending
816,CONV-0817,blue screen error,Run a system diagnostic tool.,30 minutes,performance,Escalated
817,CONV-0818,forgot password,Reinstall the printer drivers.,80 minutes,network,Resolved
818,CONV-0819,blue screen error,Restart your router.,50 minutes,account,Resolved
819,CONV-0820,blue screen error,Clear cache and remove unnecessary programs.,29 minutes,account,Resolved after follow-up
820,CONV-0821,forgot password,Reinstall the printer drivers.,13 minutes,performance,Escalated
821,CONV-0822,forgot password,Reinstall the printer drivers.,21 minutes,hardware,Pending
822,CONV-0823,software installation failure,Run a system diagnostic tool.,18 minutes,network,Resolved after follow-up
823,CONV-0824,unable to access email,Clear cache and remove unnecessary programs.,115 minutes,account,Resolved
824,CONV-0825,printer not responding,Clear cache and remove unnecessary programs.,56 minutes,performance,Escalated
825,CONV-0826,printer not responding,Reset your password using the link provided.,102 minutes,network,Escalated
826,CONV-0827,slow system performance,Reinstall the printer drivers.,119 minutes,performance,Resolved
827,CONV-0828,software installation failure,Reset your password using the link provided.,119 minutes,account,Pending
828,CONV-0829,blue screen error,Follow the software installation guide.,104 minutes,network,Pending
829,CONV-0830,unable to access email,Reset your password using the link provided.,72 minutes,hardware,Resolved
830,CONV-0831,cannot connect to wi-fi,Verify your email settings.,112 minutes,software,Resolved
831,CONV-0832,unable to access email,Clear cache and remove unnecessary programs.,61 minutes,hardware,Resolved after follow-up
832,CONV-0833,printer not responding,Restart your router.,57 minutes,account,Escalated
833,CONV-0834,software installation failure,Clear cache and remove unnecessary programs.,30 minutes,performance,Escalated
834,CONV-0835,software installation failure,Follow the software installation guide.,11 minutes,network,Escalated
835,CONV-0836,forgot password,Clear cache and remove unnecessary programs.,51 minutes,software,Pending
836,CONV-0837,printer not responding,Follow the software installation guide.,105 minutes,network,Pending
837,CONV-0838,cannot connect to wi-fi,Reset your password using the link provided.,38 minutes,performance,Escalated
838,CONV-0839,software installation failure,Verify your email settings.,10 minutes,account,Resolved after follow-up
839,CONV-0840,unable to access email,Restart your router.,77 minutes,software,Resolved after follow-up
840,CONV-0841,software installation failure,Reinstall the printer drivers.,26 minutes,hardware,Pending
841,CONV-0842,unable to access email,Run a system diagnostic tool.,19 minutes,performance,Resolved
842,CONV-0843,unable to access email,Restart your router.,24 minutes,account,Pending
843,CONV-0844,printer not responding,Reset your password using the link provided.,7 minutes,software,Resolved
844,CONV-0845,forgot password,Clear cache and remove unnecessary programs.,71 minutes,software,Pending
845,CONV-0846,printer not responding,Clear cache and remove unnecessary programs.,110 minutes,performance,Resolved after follow-up
846,CONV-0847,forgot password,Restart your router.,30 minutes,network,Escalated
847,CONV-0848,cannot connect to wi-fi,Follow the software installation guide.,73 minutes,hardware,Pending
848,CONV-0849,cannot connect to wi-fi,Restart your router.,99 minutes,network,Escalated
849,CONV-0850,printer not responding,Follow the software installation guide.,119 minutes,account,Resolved
850,CONV-0851,forgot password,Reinstall the printer drivers.,105 minutes,performance,Resolved
851,CONV-0852,cannot connect to wi-fi,Clear cache and remove unnecessary programs.,72 minutes,account,Resolved
852,CONV-0853,cannot connect to wi-fi,Restart your router.,38 minutes,account,Resolved
853,CONV-0854,printer not responding,Reinstall the printer drivers.,107 minutes,account,Escalated
854,CONV-0855,forgot password,Clear cache and remove unnecessary programs.,38 minutes,network,Pending
855,CONV-0856,printer not responding,Restart your router.,114 minutes,network,Resolved
856,CONV-0857,printer not responding,Follow the software installation guide.,29 minutes,software,Resolved
857,CONV-0858,unable to access email,Reinstall the printer drivers.,73 minutes,performance,Resolved after follow-up
858,CONV-0859,software installation failure,Verify your email settings.,58 minutes,network,Escalated
859,CONV-0860,slow system performance,Restart your router.,108 minutes,hardware,Pending
860,CONV-0861,unable to access email,Clear cache and remove unnecessary programs.,34 minutes,hardware,Resolved after follow-up
861,CONV-0862,cannot connect to wi-fi,Restart your router.,57 minutes,software,Pending
862,CONV-0863,software installation failure,Restart your router.,36 minutes,performance,Escalated
863,CONV-0864,cannot connect to wi-fi,Restart your router.,49 minutes,hardware,Escalated
864,CONV-0865,forgot password,Run a system diagnostic tool.,115 minutes,network,Pending
865,CONV-0866,blue screen error,Restart your router.,26 minutes,network,Resolved
866,CONV-0867,cannot connect to wi-fi,Run a system diagnostic tool.,51 minutes,account,Resolved after follow-up
